2026-05-01T00:16:07.027Z | GET /api/admin/relatorios/receita?startDate=2026-04-01&endDate=2026-05-01&previousStartDate=2026-03-01&previousEndDate=2026-04-01&roomType=todos&paymentMethod=todos&groupBy=month&periodo=mes | 16ms | 500
2026-05-01T00:16:07.049Z | GET /api/admin/relatorios/receita?startDate=2026-04-01&endDate=2026-05-01&previousStartDate=2026-03-01&previousEndDate=2026-04-01&roomType=todos&paymentMethod=todos&groupBy=month&periodo=mes | 38ms | 500
2026-05-01T00:16:08.600Z | GET /api/admin/dashboard/metrics | 20ms | 200
2026-05-01T00:16:08.606Z | GET /api/admin/dashboard/metrics | 4ms | 200
2026-05-01T00:16:08.634Z | GET /api/admin/dashboard/ocupacao-por-tipo | 17ms | 404
2026-05-01T00:16:08.647Z | GET /api/admin/dashboard/ocupacao-por-tipo | 30ms | 404
2026-05-01T00:16:10.122Z | GET /api/admin/quartos/estatisticas | 8ms | 304
2026-05-01T00:16:10.124Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 11ms | 304
2026-05-01T00:16:10.131Z | GET /api/admin/quartos/estatisticas | 7ms | 304
2026-05-01T00:16:10.133Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 8ms | 304
2026-05-01T00:16:11.027Z | GET /api/admin/reservas?page=1&limit=10 | 19ms | 304
2026-05-01T00:16:11.040Z | GET /api/admin/reservas?page=1&limit=10 | 11ms | 304
2026-05-01T00:16:14.395Z | GET /api/admin/utilizadores?page=1&limit=10 | 11ms | 304
2026-05-01T00:16:14.410Z | GET /api/admin/utilizadores?page=1&limit=10 | 10ms | 304
2026-05-01T00:16:18.673Z | GET /api/admin/logs | 10ms | 200
2026-05-01T00:16:18.687Z | GET /api/admin/logs | 9ms | 304
2026-05-01T00:16:22.160Z | GET /api/admin/financeiro/dashboard?startDate=2026-04-01&endDate=2026-05-01&status=todos&metodo=todos | 19ms | 304
2026-05-01T00:16:22.178Z | GET /api/admin/financeiro/dashboard?startDate=2026-04-01&endDate=2026-05-01&status=todos&metodo=todos | 16ms | 304
2026-05-01T00:16:25.275Z | GET /api/admin/dashboard/metrics | 3ms | 200
2026-05-01T00:16:25.287Z | GET /api/admin/dashboard/metrics | 8ms | 200
2026-05-01T00:16:25.318Z | GET /api/admin/dashboard/ocupacao-por-tipo | 17ms | 404
2026-05-01T00:16:25.319Z | GET /api/admin/dashboard/ocupacao-por-tipo | 15ms | 404
2026-05-01T00:16:32.683Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 4ms | 304
2026-05-01T00:16:32.683Z | GET /api/admin/quartos/estatisticas | 3ms | 304
2026-05-01T00:16:32.689Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 4ms | 304
2026-05-01T00:16:32.689Z | GET /api/admin/quartos/estatisticas | 4ms | 304
2026-05-01T00:16:33.315Z | GET /api/admin/dashboard/metrics | 9ms | 200
2026-05-01T00:16:33.321Z | GET /api/admin/dashboard/metrics | 4ms | 200
2026-05-01T00:16:33.352Z | GET /api/admin/dashboard/ocupacao-por-tipo | 19ms | 404
2026-05-01T00:16:33.353Z | GET /api/admin/dashboard/ocupacao-por-tipo | 21ms | 404
2026-05-01T00:16:38.475Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 3ms | 304
2026-05-01T00:16:38.476Z | GET /api/admin/quartos/estatisticas | 4ms | 304
2026-05-01T00:16:38.488Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 11ms | 304
2026-05-01T00:16:38.490Z | GET /api/admin/quartos/estatisticas | 9ms | 304
2026-05-01T00:16:41.881Z | GET /api/admin/reservas?page=1&limit=10 | 14ms | 304
2026-05-01T00:16:41.891Z | GET /api/admin/reservas?page=1&limit=10 | 8ms | 304
2026-05-01T00:16:47.674Z | GET /api/admin/utilizadores?page=1&limit=10 | 8ms | 304
2026-05-01T00:16:47.687Z | GET /api/admin/utilizadores?page=1&limit=10 | 12ms | 304
2026-05-01T00:16:51.454Z | GET /api/admin/logs | 7ms | 200
2026-05-01T00:16:51.468Z | GET /api/admin/logs | 9ms | 304
2026-05-01T00:16:56.528Z | GET /api/admin/relatorios/receita?startDate=2026-04-01&endDate=2026-05-01&previousStartDate=2026-03-01&previousEndDate=2026-04-01&roomType=todos&paymentMethod=todos&groupBy=month&periodo=mes | 13ms | 500
2026-05-01T00:16:56.531Z | GET /api/admin/relatorios/receita?startDate=2026-04-01&endDate=2026-05-01&previousStartDate=2026-03-01&previousEndDate=2026-04-01&roomType=todos&paymentMethod=todos&groupBy=month&periodo=mes | 15ms | 500
2026-05-01T00:17:02.852Z | GET /api/admin/relatorios/receita?startDate=2026-04-01&endDate=2026-05-01&previousStartDate=2026-03-01&previousEndDate=2026-04-01&roomType=todos&paymentMethod=todos&groupBy=day&periodo=mes | 37ms | 200
2026-05-01T00:17:05.316Z | GET /api/admin/financeiro/dashboard?startDate=2026-04-01&endDate=2026-05-01&status=todos&metodo=todos | 24ms | 304
2026-05-01T00:17:05.346Z | GET /api/admin/financeiro/dashboard?startDate=2026-04-01&endDate=2026-05-01&status=todos&metodo=todos | 29ms | 304
2026-05-01T00:17:07.368Z | GET /api/admin/dashboard/metrics | 8ms | 200
2026-05-01T00:17:07.376Z | GET /api/admin/dashboard/metrics | 5ms | 200
2026-05-01T00:17:07.411Z | GET /api/admin/dashboard/ocupacao-por-tipo | 22ms | 404
2026-05-01T00:17:07.424Z | GET /api/admin/dashboard/ocupacao-por-tipo | 34ms | 404
2026-05-01T00:17:37.378Z | GET /api/admin/dashboard/metrics | 8ms | 200
2026-05-01T00:18:07.801Z | GET /api/admin/dashboard/metrics | 3ms | 200
2026-05-01T00:18:37.968Z | GET /api/admin/dashboard/metrics | 4ms | 200
2026-05-01T00:19:08.102Z | GET /api/admin/dashboard/metrics | 4ms | 200
2026-05-01T00:19:38.878Z | GET /api/admin/dashboard/metrics | 5ms | 200
2026-05-01T00:20:09.280Z | GET /api/admin/dashboard/metrics | 4ms | 200
2026-05-01T00:20:39.405Z | GET /api/admin/dashboard/metrics | 6ms | 200
2026-05-01T00:21:09.982Z | GET /api/admin/dashboard/metrics | 4ms | 200
2026-05-01T00:27:21.252Z | POST /api/auth/login | 1793ms | 200
2026-05-01T00:27:31.428Z | GET /api/admin/quartos/estatisticas | 291ms | 304
2026-05-01T00:27:31.444Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 313ms | 304
2026-05-01T00:27:31.457Z | GET /api/admin/quartos/estatisticas | 12ms | 304
2026-05-01T00:27:31.463Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 16ms | 304
2026-05-01T00:31:02.609Z | GET /api/admin/reservas?page=1&limit=10 | 112ms | 304
2026-05-01T00:31:02.631Z | GET /api/admin/reservas?page=1&limit=10 | 17ms | 304
2026-05-01T00:32:12.870Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 19ms | 304
2026-05-01T00:32:12.882Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 8ms | 304
2026-05-01T00:32:12.883Z | GET /api/admin/quartos/estatisticas | 25ms | 304
2026-05-01T00:32:12.891Z | GET /api/admin/quartos/estatisticas | 6ms | 304
2026-05-01T00:32:18.940Z | GET /api/admin/utilizadores?page=1&limit=10 | 43ms | 200
2026-05-01T00:32:18.957Z | GET /api/admin/utilizadores?page=1&limit=10 | 9ms | 304
2026-05-01T00:32:19.928Z | GET /api/admin/reservas?page=1&limit=10 | 40ms | 304
2026-05-01T00:32:19.940Z | GET /api/admin/reservas?page=1&limit=10 | 7ms | 304
2026-05-01T00:32:20.827Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 4ms | 304
2026-05-01T00:32:20.828Z | GET /api/admin/quartos/estatisticas | 4ms | 304
2026-05-01T00:32:20.877Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 47ms | 304
2026-05-01T00:32:20.877Z | GET /api/admin/quartos/estatisticas | 3ms | 304
2026-05-01T00:32:23.151Z | GET /api/admin/quartos/estatisticas | 4ms | 304
2026-05-01T00:32:23.152Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 6ms | 304
2026-05-01T00:32:23.156Z | GET /api/admin/quartos/estatisticas | 3ms | 304
2026-05-01T00:32:23.169Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 9ms | 304
2026-05-01T00:37:36.557Z | GET /api/admin/quartos/estatisticas | 138ms | 304
2026-05-01T00:37:36.566Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 96ms | 304
2026-05-01T00:37:36.584Z | GET /api/admin/quartos/estatisticas | 14ms | 304
2026-05-01T00:37:36.589Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 18ms | 304
2026-05-01T00:37:42.872Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 69ms | 304
2026-05-01T00:37:42.873Z | GET /api/admin/quartos/estatisticas | 68ms | 304
2026-05-01T00:37:43.014Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 57ms | 304
2026-05-01T00:37:43.021Z | GET /api/admin/quartos/estatisticas | 63ms | 304
2026-05-01T00:37:45.920Z | GET /api/admin/dashboard/metrics | 159ms | 200
2026-05-01T00:37:45.929Z | GET /api/admin/dashboard/metrics | 7ms | 200
2026-05-01T00:37:46.651Z | GET /api/admin/dashboard/ocupacao-por-tipo | 167ms | 404
2026-05-01T00:37:46.656Z | GET /api/admin/dashboard/ocupacao-por-tipo | 166ms | 404
2026-05-01T00:37:48.932Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 9ms | 304
2026-05-01T00:37:48.933Z | GET /api/admin/quartos/estatisticas | 7ms | 304
2026-05-01T00:37:48.947Z | GET /api/admin/quartos/?page=1&limit=10&sortBy=room_number&order=asc | 6ms | 304
2026-05-01T00:37:48.947Z | GET /api/admin/quartos/estatisticas | 4ms | 304
2026-05-01T00:37:49.984Z | GET /api/admin/reservas?page=1&limit=10 | 38ms | 304
2026-05-01T00:37:50.003Z | GET /api/admin/reservas?page=1&limit=10 | 17ms | 304
